Feature_id	Mean_decrease_in_accuracy	Standard_deviation
OTU1072	0.0070174478705175	NA
OTU2146	0.00487697896442882	NA
OTU1876	0.00393657298445561	NA
OTU1215	0.00379459052931007	NA
OTU1055	0.00373123135755242	NA
OTU1801	0.00362765548815115	NA
OTU1888	0.00345153497473587	NA
OTU3060	0.00312268237379087	NA
OTU2734	0.00290542307301439	NA
OTU1060	0.00261091700444869	NA
OTU2312	0.00260259771392299	NA
OTU2855	0.00259500217378124	NA
OTU2429	0.00259228389618924	NA
OTU1799	0.00224733315168024	NA
OTU972	0.00219737824251342	NA
OTU2186	0.0021325202681683	NA
OTU2815	0.00207080494315339	NA
OTU1616	0.00206252379964804	NA
OTU1440	0.00199306183367716	NA
OTU1943	0.0016943397394657	NA
OTU1612	0.00159494563180648	NA
OTU386	0.001544891962941	NA
OTU1681	0.00146558264653616	NA
OTU2613	0.00145614964024275	NA
OTU1279	0.00144814190880335	NA
OTU1154	0.00136516323748302	NA
OTU2943	0.00136156923317052	NA
OTU376	0.00135774977285201	NA
OTU3065	0.00132005024342357	NA
OTU779	0.00123326157171302	NA
OTU2558	0.00121493572517664	NA
OTU1352	0.00118765650332788	NA
OTU1275	0.00110915458202722	NA
OTU1475	0.00106306623128459	NA
OTU2426	0.00105772546324017	NA
OTU1907	0.00101424714700818	NA
OTU1995	0.00101383676731736	NA
OTU2587	0.000997470627898615	NA
OTU1343	0.000925133358209734	NA
OTU2027	0.000914688720657394	NA
OTU2889	0.000899902836092714	NA
OTU1271	0.000884938199248303	NA
OTU2618	0.000860256651922486	NA
OTU1727	0.000815717646146149	NA
OTU649	0.000772557798258138	NA
OTU181	0.000768342874755827	NA
OTU2136	0.000767080452362711	NA
OTU2149	0.000752884732625384	NA
OTU2121	0.000720253994474943	NA
OTU486	0.000718880688739248	NA
OTU1709	0.000668861711460084	NA
OTU1500	0.000668544023680536	NA
OTU1001	0.000624844536396265	NA
OTU2837	0.000598566824635995	NA
OTU2819	0.00059532401543225	NA
OTU287	0.00056651592957333	NA
OTU196	0.00056508034083873	NA
OTU2998	0.000559302968059753	NA
OTU1645	0.000534025309495573	NA
OTU1351	0.000528244742873226	NA
OTU75	0.000528185596636546	NA
OTU1071	0.000518542869988491	NA
OTU1069	0.000510583673261567	NA
OTU1710	0.000510097163718017	NA
OTU687	0.000497553037211725	NA
OTU2540	0.000496438818778402	NA
OTU274	0.000492996286514089	NA
OTU2339	0.00049082765516589	NA
OTU1013	0.00048455281337035	NA
OTU122	0.000481145902041862	NA
OTU2767	0.0004765664160401	NA
OTU810	0.000466364616174863	NA
OTU2315	0.000459494481183785	NA
OTU2286	0.000455772929781138	NA
OTU110	0.000447612466362466	NA
OTU2886	0.000422900604589409	NA
OTU1490	0.000421839832424198	NA
OTU1938	0.000419912256505612	NA
OTU298	0.000418291452565646	NA
OTU1469	0.000406826075834425	NA
OTU503	0.00040508658008658	NA
OTU213	0.000397929773075769	NA
OTU2460	0.00039690841558276	NA
OTU2404	0.000394462637310793	NA
OTU2333	0.00039402772881888	NA
OTU968	0.000376893520566121	NA
OTU2929	0.000369796299978313	NA
OTU2555	0.00036423574714865	NA
OTU2439	0.000358672247002418	NA
OTU880	0.000357664238159594	NA
OTU3101	0.000347243693885495	NA
OTU1891	0.000347205139495406	NA
OTU2490	0.000331651879774945	NA
OTU3021	0.000327798146413494	NA
OTU2706	0.000321799414589734	NA
OTU2361	0.000309234346298724	NA
OTU1463	0.000308835372989473	NA
OTU2997	0.000295096828303035	NA
OTU2427	0.000292438816866349	NA
OTU54	0.000290659380159237	NA
OTU435	0.000288955421213486	NA
OTU2428	0.000284430524409177	NA
OTU2892	0.000275641025641026	NA
OTU985	0.000274402791943115	NA
OTU2534	0.000272896868270383	NA
OTU3091	0.000269882914789658	NA
OTU2254	0.000264704495776602	NA
OTU2014	0.000261476841977374	NA
OTU1378	0.000255357881365946	NA
OTU983	0.000252262443438914	NA
OTU2672	0.00024966465098044	NA
OTU2326	0.000248538011695906	NA
OTU1631	0.000246988967577203	NA
OTU2580	0.000244587639788878	NA
OTU70	0.000240680131701804	NA
OTU1338	0.000237390106786142	NA
OTU2464	0.000236831721936086	NA
OTU1742	0.000235672231628114	NA
OTU1289	0.000231835939678306	NA
OTU2768	0.000228588373828183	NA
OTU426	0.00022382098007098	NA
OTU1260	0.000223359884662067	NA
