SampleID	TG(26:0/18:1/18:2)	DG(22:1/18:2)	DG(18:1/22:1)	TG(18:1/22:1/24:1)	TG(18:1/18:2/22:1)	TG(18:1/18:2/22:0)	TG(22:1/18:2/22:1)	SM(d34:1)	TG(18:1/22:1/24:0)	TG(24:4/16:0/18:1)
CP_01	-0.505574305988734	-0.141432235025331	-0.407152539941075	-0.404038994790262	-0.71164925200913	-0.563554924111667	0.131392602860001	-0.041721419539215	-0.26352156116082	-0.360458529278632
CP_02	0.010675531653086	-0.396689952309751	0.227622659724337	-0.076196153925252	0.270242730161879	0.274010626278183	-0.364575827331705	-0.129770343503783	0.21987801881605	-0.42176624630905
CP_03	-0.623119305290308	-0.422520929079223	-0.549228009499684	-0.5402610395424	-0.720544578412987	-0.594078852065336	-0.188427863714842	-0.0834651153363801	-0.41717183286955	-0.662692406854438
CP_04	-1.35057920142472	-0.0971916439978692	-0.149360085621975	-1.73839750940638	-1.57479690522853	-1.10171912770219	-1.92405971388422	0.137297157530052	-1.89377039746741	-0.391125789285402
CP_05	-0.670852125635018	-0.368176634574797	-0.974773592515457	-0.643179075929873	-0.581630016299171	-0.790136710310587	-0.703322836076983	0.0117248901281234	-0.488138662457925	-0.348925882522829
CP_06	-0.337663490984051	-0.870916343350707	-0.994034190318783	-0.513824261406453	-0.837679039642182	-1.07743235439475	-0.778490937099953	0.340768559646357	-1.07181040379896	-0.827668307955988
CP_07	-0.172245788235943	-0.179639037657204	-0.564042443758078	-0.0979437079583182	-0.0821176306584909	-0.315968724094522	0.00776995722844985	-0.842527032548315	-0.0037563114781059	-0.328478382839994
CP_08	-0.731174035640004	-0.759765898325234	-1.49864520199389	-0.421476720425906	-0.633553026451279	-0.898570726536581	-0.439336916241757	-0.0284444783192043	-0.317096895548807	-0.147390328373609
CP_09	-0.299773193596485	-0.266723863408765	-0.657486403928875	-0.117994357838052	-0.410906887249695	-0.297038631855506	0.135559245436234	-0.761613296081107	0.226069683925833	0.0131108261676659
CP_10	-0.244314814035136	0.00727820523910765	-0.0564132894253237	-0.295829946448193	-0.188538319419681	-0.180218832635002	-0.0832916630021391	-0.240391838763528	-0.232974352848758	0.169747875762269
CP_11	-0.948268539907624	-1.00767922166762	-0.932558820866902	-0.972980849983363	-1.12432210389094	-1.21740696598026	-1.27101329183588	-0.154575625795464	-1.09277804426299	-0.77696772101796
CP_12	-0.74638244003576	-0.966199008463193	-1.1797763587572	-0.85795985920168	-0.86015068239088	-0.919194279574025	-0.282712048285409	-0.199986698677001	-0.812738910202697	-0.475153266542186
CP_13	-0.543657798257188	-0.669945510769692	-0.858988088950364	-0.456396455993253	-0.527359199273609	-0.821870799054155	-0.410032707855574	-0.119779495852526	-0.449068070002852	-0.757320814087236
CP_14	0.418859095657217	-0.120516320460546	0.913842779683776	0.372809539092095	0.78440284626406	0.821199069228962	0.0321583139262889	-0.384963479065633	0.69511959896684	0.318388508012285
CP_15	0.190535446181705	0.519813632616962	0.697639734062224	0.387420775226286	0.0369615463455531	0.39858656612067	-0.197230764100848	0.0827995796879747	0.158602279322012	-0.0526182631319898
CP_16	-0.744167252434138	-0.560997551573443	-1.15472614988236	-0.68305062797674	-0.677363950032204	-0.992839351937638	-1.23160190428896	-0.327919244036263	-0.602217935019792	-0.28204850194157
CP_17	-0.26201742504585	-0.151075351895201	-0.403848653271032	-0.209714364009284	-0.341952886374833	-0.427876998085311	-0.349015976395198	-0.471546914005642	-0.120349615029263	-0.233222234431636
CP_18	-0.846870844107764	-1.10410786049929	-0.846613960133472	-0.774465661080344	-0.921869122250776	-1.00087151141923	-1.18570265182969	0.332688059238541	-0.957506806543082	-0.850975761803364
CP_19	-0.320239058444365	-1.39086945030424	-0.501345197110836	-0.505368442889626	-0.789820033761457	-0.90246863758604	-0.81062049954192394	0.374615906193531	-0.884471237126488	-1.05621108808606
CP_20	-0.923227831748011	-0.137580486075874	0.0947059470655197	-0.946746232959475	-0.631757036728042	-0.692798123724551	-1.39223569696417	-0.698641585235178	-1.03032751588004	-0.00626934774029852
CP_21	-0.511504431314969	-1.03902435212947	-0.707687143373067	-0.556025967382717	-0.64164970425345	-0.913344916054633	-0.439872641231791	-0.757182824821612	-0.756154089490299	-0.807305859229218
