ID	LipidIon	log_t.test_p.value_BHcorrect	logFC	VIP	VIP_num	Regulate
4.4_752.523125228916	PC(34:5)	0.0431081990150189	0.164738160015621	VIP <1	0.622075696425749	Normal
4.43_796.513443228916	PC(14:0/20:5)	0.745389032191158	-0.123257436078411	VIP <1	0.483586719718691	Normal
4.48_874.544017506024	PI(16:0/20:5)(rep)	0.201770994573057	0.352378215701262	VIP <1	0.833172757820012	Normal
4.51_828.554313542169	PC(40:9)	0.124639118925232	0.137107542762092	VIP <1	0.558998663709761	Normal
4.53_687.544207512048	SM(d33:2)	0.157728692372741	0.130477575222988	VIP <1	0.256465316683101	Normal
4.53_731.534486963855	SM(d33:2)(rep)	0.167047626038889	0.00907194285385323	VIP <1	0.493808899254345	Normal
4.54_778.538909638554	PC(36:6)(rep)	0.102058595735466	0.0677524462374143	VIP <1	0.678415607275452	Normal
4.55_822.529111193939	PC(16:1/20:5)	0.245235548032998	0.0268993894670016	VIP <1	0.561324082680111	Normal
4.55_831.503038541401	PI(16:0/18:3)	0.688365028544691	0.476075883707282	VIP <1	0.92481579381373	Normal
4.57_772.513431753012	PC(14:0/18:3)	1.04725563045365	-0.316241827829773	VIP <1	0.668206921915859	Normal
4.58_728.523049566265	PC(32:3)	0.132325542439954	-0.0155069765679914	VIP <1	0.355174422026491	Normal
4.62_1151.7072389759	GM3(d34:1)	0.814294887423019	0.187622733914343	VIP <1	0.615673102831699	Normal
4.62_1169.71540672892	GM3(d34:1(rep)	1.1668753633516	0.508275526448813	VIP <1	0.719076616836641	Normal
4.62_854.569438442478	PC(42:10)	2.23521201611184	-0.256912290915704	VIP >=1	1.15314707726529	Normal
4.64_786.600761793651	PC(36:2)	0.0196142506131415	-0.042392601197496	VIP <1	0.28579652080942	Normal
4.66_878.569436740964	PC(44:12)	2.42472596400921	-0.387002847607643	VIP <1	0.973076697659743	Normal
4.67_760.5851094	PC(34:1)	0.0158843262826146	0.886539784034592	VIP <1	0.556382285613162	Normal
4.68_881.520191078313	PI(16:0/22:6)	0.594455545502892	0.165443275209201	VIP <1	0.357078769111879	Normal
4.7_725.559633753012	SM(d36:4)	2.18035608517959	0.357993881164883	VIP <1	0.646165161358771	Normal
