Feature_id	Mean_decrease_in_accuracy	Standard_deviation
OTU920	0.00666218561594252	NA
OTU624	0.00665315259994389	NA
OTU189	0.00662933169113981	NA
OTU1770	0.00600415977992334	NA
OTU1192	0.00586217616233096	NA
OTU2043	0.00527594825822986	NA
OTU1482	0.00503841822839669	NA
OTU1543	0.00485621311280215	NA
OTU1805	0.00480994599767651	NA
OTU667	0.0047845965665928	NA
OTU1305	0.00461762239338562	NA
OTU953	0.00442361044341459	NA
OTU1653	0.00408738419714325	NA
OTU1079	0.00365241218843823	NA
OTU1973	0.00339490143779584	NA
OTU2170	0.00249802461814072	NA
OTU524	0.00245797583161966	NA
OTU2162	0.00208069465495095	NA
OTU931	0.00203021142234024	NA
OTU1721	0.00186283784715606	NA
OTU315	0.00158746865322649	NA
OTU1478	0.00158114750596915	NA
OTU1467	0.0015293907213395	NA
OTU1073	0.00151317630859292	NA
OTU1537	0.00147204058691641	NA
OTU1742	0.00143339573892105	NA
OTU119	0.00141089168231448	NA
OTU974	0.00125383941524741	NA
OTU736	0.00118031408735743	NA
OTU958	0.00114327048342394	NA
OTU495	0.00111633588009783	NA
OTU435	0.00111272689299005	NA
OTU295	0.00110757798982998	NA
OTU2174	0.00104699624701139	NA
OTU2156	0.00102392690728604	NA
OTU1734	0.00099905830753354	NA
OTU56	0.000967746726957253	NA
OTU709	0.000897317707680812	NA
OTU988	0.000892197070215646	NA
OTU1485	0.000886352763836274	NA
OTU1595	0.000855392603612418	NA
OTU16	0.000837525719670019	NA
OTU41	0.000828345864661654	NA
OTU86	0.000814216747304983	NA
OTU2132	0.000775676749515422	NA
OTU2002	0.000740586984395034	NA
OTU385	0.000738030113161692	NA
OTU110	0.000729828736570559	NA
OTU2091	0.000640290119237488	NA
OTU394	0.00063030431470834	NA
OTU1791	0.000617857142857143	NA
OTU1358	0.000617762543613937	NA
OTU554	0.000570532639239733	NA
OTU248	0.000569031273836766	NA
OTU1431	0.000532129342965256	NA
OTU1562	0.000525163782314812	NA
OTU1884	0.000520585964378871	NA
OTU49	0.000507145180241156	NA
OTU299	0.000489314194577353	NA
OTU172	0.000479848909260674	NA
OTU1512	0.00045167583814609	NA
OTU1620	0.00044949494949495	NA
OTU17	0.000444893483709273	NA
OTU1897	0.000441900540120354	NA
OTU637	0.000420611801339355	NA
OTU118	0.000416017316017316	NA
OTU1320	0.000412838915470494	NA
OTU2105	0.000407149439416568	NA
OTU1684	0.000403476829328223	NA
OTU2133	0.000396904761904762	NA
OTU1023	0.000384885230009069	NA
OTU1492	0.000379813664596273	NA
OTU1745	0.000375158316915283	NA
OTU1938	0.000370724347891531	NA
OTU369	0.000368848592068406	NA
OTU2086	0.000367788175876411	NA
OTU1065	0.000360350979654049	NA
OTU1802	0.000352278918640475	NA
OTU1624	0.000346282372598162	NA
OTU1036	0.000322185285250637	NA
OTU2096	0.000316374269005848	NA
OTU828	0.000312629399585921	NA
OTU730	0.000308612440191388	NA
OTU1683	0.00030855614973262	NA
OTU1724	0.00030778651173388	NA
OTU2084	0.000298809523809524	NA
OTU590	0.000291159717475507	NA
OTU1874	0.000290763328742868	NA
